book_id,num_reviews,avg_rating,title
0140099123,4,5.0,"Recovering from the War: A Woman's Guide to Helping Your Vietnam Vet, Your Family, and Yourself"
B000K7Y0G8,46,4.108695652173913,Rabbits For Dummies
B0007HKBFK,17,4.470588235294118,Madeline in London
1570544646,4,4.0,The Adventure of Fender Bender: Bendable Wire Bow Wow with Other
0877193126,2,4.0,Snakes of North America: Western Region (Gulf Publishing Field Guide Series)
B000NV90FW,18,4.611111111111111,East Wind: West Wind
B00072BDBG,1,4.0,Vanishing Saints: Is the rapture real?
0821775685,4,3.75,Seducing Sybilla (Zebra Regency Romance)
0195170091,2,4.0,Walt Whitman (Lives & Legacies (Oxford))
B000PFV99G,2,4.0,On Call
1879085569,2,4.5,The Red Shoes
0791457893,2,4.5,The Call of God: Women Doing Theology in Peru
0295974354,1,4.0,"Tales from the Dena: Indian Stories from the Tanana, Koyukuk, & Yukon Rivers"
B0007EIY5C,13,4.769230769230769,The Secrets of Dr. Taverner
0907582885,1,4.0,Emily Dickinson (Berg Women's Series)
B000NKNQU8,16,4.5,Time Regained
096405440X,6,4.166666666666667,The Shy Man's Guide to Success With Women
185649036X,1,5.0,"Gender and Tribe: Women, Land, and Forests in Jharkhand"
B000K7N6ZE,1,5.0,Sean Scully
1558740767,4,4.0,Beyond Feast or Famine: Daily Affirmations for Compulsive Eaters
0590485857,6,4.833333333333333,A Pony In Trouble (Pony Pals #3)
B0007DSBVA,1,5.0,The Wind in the Forest
0553269534,2,3.5,"The First Named (Servants of Ark Trilogy, Volume 1)"
074400182X,9,3.888888888888889,Medieval: Total War(TM) Official Strategy Guide
B000N762N4,249,4.116935483870968,Everyman's Library #217: Midnight's Children
0130486892,2,2.5,Foodservice Organizations: A Managerial and Systems Approach (5th Edition)
0801065127,1,5.0,Becoming a World Changing Family: Fun and Innovative Ways to Spread the Good News
0967399807,4,4.75,"Deaf Esprit: Inspiration, Humor and Wisdom from the Deaf Community"
1591331374,3,4.333333333333333,"\"Twelfth Night \"\"On The Twelfth Night of Christmas\"\"\""
0340592877,8,3.75,Teach Yourself Better Handwriting
B000IA9QT8,2,4.5,Richard Carvel
0679456767,8,5.0,Cry Bloody Murder:: A Tale of Tainted Blood
0688036082,1,4.0,"The Lords of Akchasaz, Part 1: Murder in the Ironsmiths Market"
0940378051,3,5.0,Geology of Utah (Occasional paper no. 6 of the Utah Museum of Natural History)
0060099305,26,4.269230769230769,A Woman's Place
0849952964,9,5.0,In My Father's Vineyard
074352862X,4,5.0,The Power of Kabbalah: The Art of Spiritual Transformation--How to Remove Chaos and Find True Fulfillment
0882548433,150,4.557046979865772,The Seven Storey Mountain
0803729200,3,4.666666666666667,Don't Forget I Love You
B000OX0CEM,2,1.0,My Lady's Prisoner
B000PRUPP8,5,2.8,The Cannibal -
0768853133,2,4.5,Lizzie McGuire 2004 Calendar
0854765026,1,3.0,Free to be Slim
0897082052,2,4.5,Small-Time Operator: The Software/Book & Disk
B0006SAW1I,1,2.0,Follow your dreams: Secrets to getting hired as flight attendant
1574532405,1,4.0,"Capricorn: Sun, Star, & Love Signs Secrets (Linda Goodman's Sun, Star and Love Signs Secrets)"
0120586908,3,3.0,"Elementary Linear Algebra, Second Edition"
